from_State,from_Division,from_Latitude,from_Longitude,to_State,to_Division,to_Latitude,to_Longitude,distance_metres,time_minutes,trans_type
ACT,Canberra,-35.349,149.089,ACT,Fenner,-35.236,149.111,21144,1148,car
ACT,Canberra,-35.349,149.089,NSW,Sydney Airport,-33.940248,151.175186,287749,10603,car
ACT,Canberra,-35.349,149.089,VIC,Melbourne Airport,-37.669612,144.842524,661196,23591,car
ACT,Fenner,-35.236,149.111,NSW,Sydney Airport,-33.940248,151.175186,274788,10219,car
ACT,Fenner,-35.236,149.111,VIC,Melbourne Airport,-37.669612,144.842524,645747,22979,car
NSW,Sydney Airport,-33.940248,151.175186,VIC,Melbourne Airport,-37.669612,144.842524,858163,30347,car
NSW,Banks,-33.967,151.066,NSW,Barton,-33.956,151.129,8359,896,car
NSW,Banks,-33.967,151.066,NSW,Bennelong,-33.793,151.099,23499,2200,car
NSW,Banks,-33.967,151.066,NSW,Berowra,-33.568,151.047,53841,4845,car
NSW,Banks,-33.967,151.066,NSW,Blaxland,-33.888,151,15592,1573,car
NSW,Banks,-33.967,151.066,NSW,Bradfield,-33.732,151.146,32582,2913,car
NSW,Banks,-33.967,151.066,NSW,Calare,-33.306,148.922,275313,13357,car
NSW,Banks,-33.967,151.066,NSW,Chifley,-33.735,150.838,49759,2397,car
NSW,Banks,-33.967,151.066,NSW,Cook,-34.031,151.1,12329,1231,car
NSW,Banks,-33.967,151.066,NSW,Cowper,-30.384,152.87,535594,21909,car
NSW,Banks,-33.967,151.066,NSW,Cunningham,-34.259,150.916,48045,2990,car
NSW,Banks,-33.967,151.066,NSW,Dobell,-33.248,151.366,110047,6336,car
NSW,Banks,-33.967,151.066,NSW,Eden-Monaro,-36.292,149.344,409703,16921,car
NSW,Banks,-33.967,151.066,NSW,Farrer,-32.501,143.311,961070,40682,car
NSW,Banks,-33.967,151.066,NSW,Fowler,-33.9,150.877,24702,1787,car
NSW,Banks,-33.967,151.066,NSW,Gilmore,-35.067,150.398,175771,8262,car
NSW,Banks,-33.967,151.066,NSW,Grayndler,-33.897,151.148,15307,1599,car
NSW,Banks,-33.967,151.066,NSW,Greenway,-33.733,150.913,56149,2608,car
